,id,model,price,kilometer,registration_date,condition,zip_code,text,place
170,1174809613,Kleinwagen,300 €,166.318,2000,BeschädigtesFahrzeug,84160,"                    Ford Fiesta als Bastler-bzw Schlachtfahrzeug zu verkaufen .Fahrzeug war als Übergangsfahrzeug bei uns im Einsatz. Hat noch TÜV bis 10/2019.Fahrzeug besitzt eine Klimaanlage (Funktioniert!) und eine abnehmbare Anhängerkupplung (bei mir nie im Einsatz)Fahrzeug steht auf Winterreifen mit stahlfelgen und ca 5-6mm Profil.Weitere Daten siehe Bilder.BEKANNTE Mängel hat dass Fahrzeug folgende:-Motor läuft seit kurzem unrund. Grund nicht bekannt.-Rost Radläufe hinten (wurde bereits vom Vorbesitzer grob behandelt, kommt aber wieder durch der Rost)-Verkleidung der Türen löst sich (siehe Bilder)- diverse Lackschäden/Dellen/Kratzer am gesamten Fahrzeug-Heckscheibenwischer ohne Funktion-Am Radio fehlt ein Knopf und es funktioniert nur der Lautsprecher auf der Beifahrerseite.Fahrzeug ist abgemeldet! Fahrzeug ist nur bedingt Fahrbereit, durch dass Motorproblem!Abholung mit Trailer wird daher empfohlen! Probefahrt nur mit roter Nummer möglich (nicht vorhanden!), muss der Käufer mitbringen.Preis ist Verhandlungsbasis. Dies gilt aber nur vor Ort bei Besichtigung. Wer per Mail einen Preis nennt, zahlt diesen auch vor Ort! Ohne weitere Verhandlungen. Bei der preisverhandlung zählt für mich auch nicht, woher sie kommen und wie weit sie ggf wegen dem Fahrzeug fahren. Dies ist Käuferrisiko!Es handelt sich um einen Privatverkauf als Bastler bzw Schlachtfahrzeug. Somit wird das Fahrzeug im Kaufvertrag als DEFEKT beschrieben. Es kann keine Garantie/Gewährleistung oder Rücknahme angeboten werden.",84160Bayern-Frontenhausen
171,1174744872,Kleinwagen,4.10 €,153.5,2009,UnbeschädigtesFahrzeug,94127,"                    Ford Fiesta Titanium 3DMotor: 1,25 82PS BenzinGetriebe: 5 Gang ManuellVision Blau Metallic3-TürerPark-Pilot-System hinten und vorneRadio, CD 6 Spk. AUX FB Bluetooth USBBeheizbare Sitze vorneKlimaanlage AutomatikStoßfänger Chrom-DekorBordcomputerLederlenkradSeitenscheiben getönt8-fach Alufelgen bereiftFrontscheibe el. beheizbarLendenwirbelsäulenstütze FahrersitzZentralverriegelung mit FernbedienungABS/ESPNebelscheinwerferAutomatische Lichtsteuerung an/ausAußenspiegel el.beheizbar und in Wagenfarbe",94127Bayern-NeuburgamInn
172,1174602622,Limousine,12.95 €,28.2,2018,UnbeschädigtesFahrzeug,Pioni,"                    Fahrzeugstandort: Kohlbruck 6a, 94036 PassauGetriebeSchaltgetriebe, 6 GängeAusstattungspaketeAusstattungspaket: Easy Driver IAssistenzsystemeFahrlichtautomatik, Spracheingabesystem, Spurhalteassistent, Einparkhilfe hinten, Notbremsassistent, BerganfahrhilfeLicht und SichtAbbiegelicht, LED-Tagfahrlicht, Wärmeschutzverglasung, Nebelscheinwerfer, beheizbare Frontscheibe, LichtsensorAudio & KommunikationRadio mit MP3: mit Ford SYNC 3, Handyvorbereitung Bluetooth, USB Anschluss, Bluetooth AudiostreamingKomfortKlimaanlage, Fahrersitz höhenverstellbar, Sitzheizung Fahrer/Beifahrer, Servotronic, Lenksäule verstellbar, Start-Stopp System, Zentralver. mit Fernbedienung, Fensterheber elektrisch, Kopfstützen vorn und hintenInterieurSitze Stoff, Innenfarbe anthrazit, Bordcomputer, Rücksitze klapp- und teilbar: 60:40, LaderaumabdeckungExterieurAußenspiegel elekt. verstell- & anklappbar, beheizt, Touchscreen BedienungSicherheitFahrer- /Beifahrerairbag, Kopfairbag vorn und hinten, Seitenairbag vorn, ISOFIX Kindersitzbefestigung, Traktionskontrolle, Elektr. Stabilitätsprogramm ESP, Reifendruckkontrolle, Wegfahrsperre, Außentemperatur Anzeige, Antiblockiersystem ABSIrrtümer und Änderungen vorbehalten,Kontakt: Ihr Ansprechpartner für Gebrauchtwagen Herr Norbert Dorfmeister Tel: 0851/98877-25Fahrzeugstandort: Kohlbruck 6a, 94036 PassauLimousineGebrauchtfahrzeugUnfallfreiHubraum: 998 cm³Anzahl der Türen: 4/5 TürenAnzahl Sitzplätze: 5Schadstoffklasse: Euro6Umweltplakette: 4 (Grün)Anzahl der Fahrzeughalter: 1HU: 1/2020Farbe: WeißFarbe (Hersteller): Frost WeißInnenausstattung: StoffFarbe der Innenausstattung: AndereAirbags: Front-, Seiten- und weitere AirbagsAnhängerkupplung: --Radio: Tuner/RadioTagfahrlicht (Art): LED-TagfahrlichtAusstattungABS, Beheizbare Frontscheibe, Berganfahrassistent, Bluetooth, Bordcomputer, ESP, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, Freisprecheinrichtung, Garantie, Isofix, Lichtsensor, Musikstreaming integriert, Nebelscheinwerfer, Notbremsassistent, Reifendruckkontrolle, Scheckheftgepflegt, Servolenkung, Sitzheizung, Sprachsteuerung, Spurhalteassistent, Stahlfelgen, Start/Stopp-Automatik, Touchscreen, Traktionskontrolle, USB, ZentralverriegelungWeitere Informationen bei","Pionierstrasse1,94036Kr.Passau-Passau"
173,1174486247,Kleinwagen,6.95 €,27.154,2014,UnbeschädigtesFahrzeug,Haupt,"                    Ihr Ansprechpartner für dieses KFZ:Reinhard Gall, Tel: 0991 370 16 21Fahrzeugnummer: DES00506- Cool Sound-Paket 2- Audiosystem: Radio/CD-Player mit Ford SYNC (Monochrom / grafikfähig)- Audiobedienung am Lenkrad- Vorrüstung Mobiltelefon/Handy mit Bluetooth-/USB-Schnittstelle- Fahrassistenz-System: Berganfahr-Assistent (Hill-Holder)- Fahrassistenz-System: Notbrems-Assistent- Fensterheber elektrisch vorn- Intelligent Protection System (IPS)- Servolenkung elektrisch- Stoßfänger hinten Sport-Design mit Diffusor- Airbag Beifahrerseite abschaltbar- Antischlupfregelung (ASR) + ABS- Außenspiegel elektr. verstell- und heizbar- Außenspiegel Wagenfarbe- Blinkleuchte in Außenspiegel integriert- Bordcomputer- 6 Lautsprecher- AUX-IN-Anschluss- USB-Anschluss- Klimaanlage- Dachhimmel Stoff- Dachspoiler Wagenfarbe- Einstiegsleisten (Edelstahl)- Elektr. Bremskraftverteilung- Elektron. Stabilitäts-Programm (ESP)- Fußmatten Velours- Generator 120 A- Getriebe 5-Gang - Typ: IB5- Getränkehalter vorn- Knieairbag Fahrerseite- Airbag Fahrer-/Beifahrerseite- Kopf-Schulter-Airbag vorn und hinten- Seitenairbag vorn- 3-Punkt-Sicherheitsgurt hinten- Gurtstraffer- Isofix-Aufnahmen für Kindersitz- Karosserie: 5-türig- Lenksäule (Lenkrad) höhen-/längsverstellbar- LM-Felgen- Motor 1.25 Ltr. - 44 kW 16V KAT- My Key (2. Fahrzeugschlüssel programmierbar)- Reifen-Reparaturkit- Rücksitz geteilt / klappbar- Schadstoffarm nach Abgasnorm Stage 5 / Euro 5- Schalt-/Wählhebelgriff Leder- Schaltpunktanzeige- Scheinwerfer mit Ausschaltverzögerung- Scheinwerfer Projektionslinsen-Design- Tagfahrlicht LED- Sitz vorn links höhenverstellbar- Start/Stop-Anlage- Staub- und Pollenfilter- Stoßfänger Wagenfarbe- Türgriffe außen Wagenfarbe- Verglasung getönt- Wegfahrsperre (elektronisch)- Wärmeschutzverglasung- Zentralverriegelung mit Fernbedienung**Wir freuen uns auf Ihre Anfrage und laden Sie gerne zu einer Probefahrt ein.Irrtümer und Zwischenverkauf vorbehalten.*KleinwagenGebrauchtfahrzeugHubraum: 1242 cm³Anzahl der Türen: 4/5 TürenAnzahl Sitzplätze: 5Schadstoffklasse: Euro5Umweltplakette: 4 (Grün)Anzahl der Fahrzeughalter: --HU: 7/2021Farbe: WeißFarbe (Hersteller): Frost-WeißInnenausstattung: StoffFarbe der Innenausstattung: AndereAirbags: Front-, Seiten- und weitere AirbagsAnhängerkupplung: --Radio: Tuner/RadioTagfahrlicht (Art): TagfahrlichtAusstattungABS, Berganfahrassistent, Bluetooth, Bordcomputer, CD-Spieler, E10-geeignet, ESP, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, Freisprecheinrichtung, Isofix, Leichtmetallfelgen, Multifunktionslenkrad, Scheckheftgepflegt, Servolenkung, Start/Stopp-Automatik, Traktionskontrolle, ZentralverriegelungWeitere Informationen bei","Hauptstrasse27a,94469Deggendorf-Fischerdorf"
174,1174362852,Kleinwagen,1.45 €,198,2009,UnbeschädigtesFahrzeug,Viech,"                    Deutsches Fahrzeug, Klima, El. Fensterheber,Fahrersitz höhenverstellbar,4 Airbag Armlehne Met. Lack ABS Servolenkung Irrtümer vorbehalten In Kunden Auftrag EURO 4,Scheckheftgepflegt,Technisch und Optisch Einwandfrei, Weitere fragen am Tel:+499929/958728 oder +49171/6940135KleinwagenGebrauchtfahrzeugUnfallfreiHubraum: 1242 cm³Anzahl der Türen: 4/5 TürenAnzahl Sitzplätze: 5Schadstoffklasse: Euro4Umweltplakette: 4 (Grün)Anzahl der Fahrzeughalter: 2HU: 4/2020Farbe: Grau MetallicFarbe (Hersteller): --Innenausstattung: --Farbe der Innenausstattung: --Airbags: Front-, Seiten- und weitere AirbagsAnhängerkupplung: --Radio: Tuner/RadioPannenhilfe: ReserveradAusstattungABS, CD-Spieler, ESP, Elektr. Fensterheber, Elektr. Wegfahrsperre, Scheckheftgepflegt, Servolenkung, ZentralverriegelungWeitere Informationen bei","Viechtacherstr.3,94239Bayern-Ruhmannsfelden"
175,1174259412,Kleinwagen,1.00 €,126,2003,UnbeschädigtesFahrzeug,Heini,"                    Das Auto aufgeben, weil ich ihn nicht mehr brauche","Heiningerstr,94036Kr.Passau-Passau"
177,1173902534,Kleinwagen,1.75 €,161.189,2005,5,94538,"                    Verkaufe Ford Fiesta meiner Schwester. Bremsen vorne vor einen jalben Jahr neu gemacht (Bremsscheibe und Bremsklötze) . Sehr gepflegt , Nichtraucherfahrzeug . 2 neue Sommerreifen sind auch drauf . Winterreifen auf Stahlfelgen mit originalen Radkappen vorhanden . Kann gerne besichtigt werden . Tüv wird auf Wunsch neu gemacht .",94538Bayern-Fürstenstein
179,1172681755,Kleinwagen,1.57 €,214,2007,UnbeschädigtesFahrzeug,84339,"                    Werkstattgepflegtes Garagenauto aus Frauenhand, guter Allgemeinzustand, kein erkennbarer Rost, SR auf Alufelgen, WR auf Stahlfelgen, kein Wartungsstau, alles funktioniert einwandfrei, Fahrzeug ist abgemeldet, kann aber am Grundstück gefahren werden, neue HU auf Wunsch möglich, Preisverhandlungen nur vor Ort, Bilder können über WhatsApp gesendet werden, Kontaktaufnahme nur über WhatsApp möglich.KleinwagenGebrauchtfahrzeugUnfallfreiHubraum: 1596 cm³Anzahl der Türen: 2/3 TürenAnzahl Sitzplätze: 5Schadstoffklasse: Euro4Umweltplakette: 4 (Grün)Anzahl der Fahrzeughalter: 1HU: 2/2020Farbe: Schwarz MetallicFarbe (Hersteller): --Innenausstattung: StoffFarbe der Innenausstattung: SchwarzAirbags: Front- und Seiten-AirbagsAnhängerkupplung: --Radio: Tuner/RadioPannenhilfe: ReserveradAusstattungABS, Elektr. Fensterheber, Elektr. Wegfahrsperre, Leichtmetallfelgen, Nebelscheinwerfer, Nichtraucher-Fahrzeug, Servolenkung, Sommerreifen, Sportfahrwerk, Sportsitze, Winterreifen, ZentralverriegelungDer Preis ist Verhandlungsbasis.Privatanbieter84339 Unterdietfurt OT HuldsessenDeutschlandTel.: +49 151 58150763Weitere Informationen bei",84339Bayern-Unterdietfurt
180,1172622712,Limousine,6.50 €,83.499,2011,UnbeschädigtesFahrzeug,Henge,"                    Sonderausstattung:Cool & Sound-Paket 3, Kopf-Schulter-Airbag vorn und hinten, Metallic-Lackierung, Parkpilotsystem vorn und hinten, Reserverad in Fahrbereifung (Stahl)Weitere Ausstattung:Airbag Beifahrerseite, Airbag Fahrerseite, Ambiente-Beleuchtung vorn (LED), Anbauteile Chrom-Dekor (an Kühlergrill, Heckklappengriff, Stoßfänger und Seitenscheiben unten), Außenspiegel elektr. verstell- und heizbar, Außenspiegel Wagenfarbe, Blinkleuchte in Außenspiegel integriert, Bordcomputer, Dachspoiler Wagenfarbe, Elektr. Bremskraftverteilung, Fahrassistenz-System: Notbrems-Assistent, Fußmatten Velours, Gurtstraffer, Intelligent Protection System (IPS), Isofix-Aufnahmen für Kindersitz, Karosserie: 5-türig, Komfort-Paket 2, Lendenwirbelstütze Sitz vorn links, Lenksäule (Lenkrad) höhenverstellbar, Leseleuchte vorn, LM-Felgen, Motor 1,6 Ltr. - 88 kW 16V Ti-VCT KAT, Rücksitz geteilt / klappbar, Schadstoffarm nach Abgasnorm Stage 5 / Euro 5, Schalt-/Wählhebelgriff Leder, Scheinwerfer Projektionslinsen-Design, Scheinwerfer-Assistent mit Tag-/Nachtsensor, Sitz vorn links höhenverstellbar, Stoßfänger Wagenfarbe, Wärmeschutzverglasung- 1.HAND- ORG 83500 KM- SCHECKHEFTGEPFLEGT- SITZHEIZUNG- KLIMAAUTOMATIK- ALUFELGEN- WINTERREIFEN- 2xPARKTRONIC- EURO5 GRÜNE ABGASPLAKETTE- 1.JAHR GARANTIE MIT SB - BESICHTIGUNG NUR NACH TEL TERMIN- ANTAUSCH EVT MÖGLICHLimousineGebrauchtfahrzeugHubraum: 1596 cm³Anzahl der Türen: 4/5 TürenAnzahl Sitzplätze: 5Schadstoffklasse: Euro5Umweltplakette: 4 (Grün)Anzahl der Fahrzeughalter: 1HU: 5/2020Farbe: Schwarz MetallicFarbe (Hersteller): Panther-Schwarz MetallicInnenausstattung: StoffFarbe der Innenausstattung: --Airbags: Front-, Seiten- und weitere AirbagsAnhängerkupplung: --Radio: Tuner/RadioAusstattungABS, Bordcomputer, ESP, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, Garantie, Isofix, Leichtmetallfelgen, Nebelscheinwerfer, Regensensor, Scheckheftgepflegt, Servolenkung, Sitzheizung, Sommerreifen, Stahlfelgen, Winterpaket, Winterreifen, ZentralverriegelungWeitere Informationen bei","Hengersbergerstrasse157,94469Bayern-Deggendorf"
181,1172485226,Kleinwagen,5.79 €,102.4,2012,UnbeschädigtesFahrzeug,Fünfl,"                    Innenausstattung:Servolenkung, Klimaanlage, 5 SitzplätzeAußenausstattung:5 Türen, Zentralverriegelung, El. Fensterheber - vorneSicherheit & Umwelt:El. Wegfahrsperre, ABS, ESPMetallic-Lackierung, Zentralverriegelung mit Funkfernbedienung, Alufelgen, 4 x gebrauchte Winterräder, Lederlenkrad mit Radiofernbedienung, Audiosystem Radio-CD mit USB und AUX Anschluß, 2 x elektrische Fensterheber, Klimaanlage, ABS, Außenspiegel elektrisch verstellbar und beheizbar, Außentemperaturanzeige, Bordcomputer, EBV, Notbrems-Assistent, Gurtstraffer, ISOFIX Kindersitz-Aufnahmen hinten, Lenksäule verstellbar, Nebelscheinwerfer, Abgasnorm EURO 5, Fahrersitz höhenverstellbar, Wärmeschutzverglasung, Vorrüstung für Mobiltelefon mit Bluetooth Schnittstelle, Kopf und Schulterairbag vorne, Raucher-Paket, Reserverad in Fahrbereifung auf Stahlfelge, Frontscheibe beheizbar, Sitzheizung vorne, Radiofernbedienung übers Lenkrad, 6 Lautsprecher, Blinker in den Außenspiegeln integriert, ESP,  5 Gang Schaltgetriebe, Seitenairbag und Knieairbag für Fahrer, 3-Speichen Lederlenkrad, geteilte Rücksitzbank, elektronisch gesteuerte Servolenkung, elektronische Wegfahrsperre, günstige Finanzierung möglich, Irrtum und Zwischenverkauf vorbehalten!!Unser Unternehmen, das Autohaus Auto Graf GmbH, blickt nun schon seit mehr als 40 Jahren auf eine kundenorientierte Tätigkeit im Automobilbereich zurück.Als Vertragshändler, liegt unser Schwerpunkt auf der Marke Hyundai, aber auch im Bezug auf andere Fabrikate verfügen wir über umfassende und kompetente Kenntnisse.Service- und Kundenorientiertheit werden im Autohaus Auto Graf GmbH großgeschrieben. Als anerkannter Automobildienstleister steht Ihnen unser Serviceteam jederzeit zur Verfügung.KleinwagenGebrauchtfahrzeugUnfallfreiHubraum: 1242 cm³Anzahl der Türen: 4/5 TürenAnzahl Sitzplätze: 5Schadstoffklasse: Euro5Umweltplakette: 4 (Grün)Anzahl der Fahrzeughalter: 2HU: --Farbe: Schwarz MetallicFarbe (Hersteller): --Innenausstattung: StoffFarbe der Innenausstattung: SchwarzAirbags: Front-, Seiten- und weitere AirbagsAnhängerkupplung: --Radio: Tuner/RadioAusstattungABS, CD-Spieler, E10-geeignet, ESP, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, Leichtmetallfelgen, Multifunktionslenkrad, Nebelscheinwerfer, Nichtraucher-Fahrzeug, Servolenkung, Sitzheizung, Sommerreifen, USB, Winterreifen, ZentralverriegelungWeitere Informationen bei","Fünfleiten23,84326Bayern-Falkenberg"
182,1172478160,Limousine,3.78 €,174.283,2009,UnbeschädigtesFahrzeug,Rotth,"                    Ausstattungspakete:- Anbauteile Chrom-Dekor (an Kühlergrill, Heckklappengriff, Stoßfänger und Seitenscheiben unten): Kühlergrill verchromt, Heckklappengriff verchromt- Audio-Paket 4: Radio/CD mit Multi-Funktions-Display, AUX-IN-Anschluss, Audiobedienung am Lenkrad, Bordcomputer, 6 Lautsprecher, Vorrüstung Mobiltelefon/Handy mit Bluetooth-/USB-Schnittstelle, USB-Anschluss, Klimaautomatik- Intelligent Protection System (IPS): Seitenairbag vorn, Knieairbag Fahrerseite- Scheinwerfer-Assistent mit Tag-/Nachtsensor: Scheibenwischer mit Regensensor, Innenspiegel mit AbblendautomatikWeitere Ausstattungen:- Getriebe: Schaltgetriebe- Assistenten: Notbremsassistent- Komfort: Klimaautomatik, Servolenkung, Zentralverriegelung, Elektrischer Fensterheber, Elektrische Aussenspiegel, Teilbare Ruecksitzlehne, Multifunktionslenkrad, Lenksaeule einstellbar, Ambiente Beleuchtung, Lordosenstütze- Sicht: Nebelscheinwerfer, Aussenspiegel beheizbar- Sicherheit: ABS, Airbag, Beifahrer-Airbag, Wegfahrsperre, Seitenairbags, ESP, Antriebsschlupfregelung, Traktionskontrolle, Knieairbag, Pannenkit- Entertainment: CD, Radio, Telefonvorbereitung, AUX-In, USB-Anschluss, Bluetooth, Freisprecheinrichtung- Umwelt: Abgasnorm Euro 4, Grüne Umweltplakette, Energieeffizienzklasse E- Qualität: Nichtraucherfahrzeug- Sonstiges: Katalysator, Metallic, Alufelgen, Stossfaenger in Wagenfarbe- Weiteres: Letzter Kundendienst bei 164832 KM durchgeführt, Ambiente-Beleuchtung vorn (LED), Anbauteile Chrom-Dekor, Bremsassistent, Dachspoiler in Wagenfarbe, Elektr. Bremskraftverteilung, Gurtstraffer, Lederlenkrad - 3 Speichen, Leseleuchte, Schalt-/Wählhebelgriff Leder, Scheinwerfer Projektionslinsen-Design, Servolenkung elektronisch, Isofix-Aufnahmen für KindersitzKein Priv.-VK-nur-Händler-od. Gewerbe.- Int.KnNr: U38385 ... Änderungen, Zwischenverkauf und Irrtümer vorbehalten.,- Weitere 800 Fahrzeuge finden Sie auf unserer Homepage, Leasing und Finanzierung auch ohne Anzahlung möglich!\* Unsere Preise sind Barabholpreise\* Des Weiteren bieten wir Ihnen auch gerne gegen Aufpreis, die Nachrüstung einer Sitzheizung, Freisprecheinrichtung oder PDC an. In unserem ReifenCenter schaffen wir mit qualitativer Arbeit, Kompetenz und Service, zufriedene Kunden.\* Trotz größter Sorgfalt, sind Inseratsfehler nicht ausgeschlossen und deshalb ohne Gewähr! Eingabefehler, Zwischenverkauf und Irrtum vorbehalten. Ausstattungs- und Verbrauchsangaben, basieren auf der Abfrage der VIN-Daten über das DAT SilverDAT System. Die VIN-Angaben werden nicht Bestandteil des Kaufvertrages.\ * EU_Neuwagen: Aufgrund verschiedener Herstellervorgaben kann es sein, dass diese bereits eine Tages –und Kurzzeitzulassung bekommen haben oder vor Verkauf noch bekommen werden.quality by CG360.deLimousineGebrauchtfahrzeugHubraum: 1242 cm³Anzahl der Türen: 4/5 TürenAnzahl Sitzplätze: 5Schadstoffklasse: Euro4Umweltplakette: 4 (Grün)Anzahl der Fahrzeughalter: 1HU: 6/2020Farbe: Rot MetallicFarbe (Hersteller): Hot MagentaInnenausstattung: StoffFarbe der Innenausstattung: GrauAirbags: Front-, Seiten- und weitere AirbagsAnhängerkupplung: --Radio: Tuner/RadioPannenhilfe: PannenkitAusstattungABS, Ambiente-Beleuchtung, Bluetooth, CD-Spieler, ESP, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, Freisprecheinrichtung, Leichtmetallfelgen, Lordosenstütze, Multifunktionslenkrad, Nebelscheinwerfer, Nichtraucher-Fahrzeug, Notbremsassistent, Servolenkung, Traktionskontrolle, USB, ZentralverriegelungWeitere Informationen bei","RotthoferStraße10,94099Bayern-RuhstorfanderRott"
183,1172197219,Kleinwagen,12.00 €,36.5,2014,UnbeschädigtesFahrzeug,94469,"                    Aufgrund von Familienzuwachs müssen wir uns von unserem Liebling trennen.Der Fiesta ST ist sowohl technisch als auch optisch in einem sehr guten Zustand. Keine angekratzten Felgen, keine Steinschläge, keine Kratzer an der Ladekante.Ausstattung:6-Gang-Schaltgetriebe, Dachspoiler groß, Audiosystem SONY mit Ford Sync, EURO 5, Seitenscheiben getönt, beheizbare Frontscheibe, Reifendruckkontrollsystem, Ford Power Startfunktion, Rückfahrkamera, Performance-Paket I & II, Farbe Lava Rot, Keyfree Startfunktion, 8-Fach Bereift auf Alu (beide schwarz und ohne Kratzer)",94469Bayern-Deggendorf
184,1171292391,Kleinwagen,8.75 €,82,2015,5,94104,"                    Ford Fiesta 1,0 EcoBoost Black/Red Edition Sportpaket-Aux-USB-Klimaautomatik-Sitzheizung, Scheckheftgepflegt, Unfallfrei-140.PS !!!Weitere Ausstattung:Airbag Beifahrerseite abschaltbar, Antischlupfregelung (ASR) + ABS, Außenspiegel elektr. verstell- und heizbar, Außenspiegel Wagenfarbe, Blinkleuchte in Außenspiegel integriert, Bordcomputer, Dach andersfarbig lackiert / Kontrastfarbe, Dachhimmel Stoff, Elektr. Bremskraftverteilung, Energierückgewinnung (Smart Regenerative Charging), Fußmatten Velours/Gummi, Generator 120 A, Getränkehalter vorn, Handbremshebelgriff Leder, Intelligent Protection System (IPS), Isofix-Aufnahmen für Kindersitz, Karosserie: 3-türig, Lendenwirbelstütze Sitz vorn links, Lenksäule (Lenkrad) höhen-/längsverstellbar, Leseleuchte vorn, Mittelarmlehne hinten mit Fach, Motor 1,0 Ltr. - 103 kW EcoBoost KAT, Pedale Aluminium, Reifen-Reparaturkit, Reifendruck-Kontrollsystem, Rücksitz geteilt / klappbar, Schadstoffarm nach Abgasnorm Stage 5 / Euro 5, Schalt-/Wählhebelgriff Leder, Scheinwerfer mit Ausschaltverzögerung, Scheinwerfer Projektionslinsen-Design, Sitz vorn links höhenverstellbar, Sport-Fahrwerk, Sportsitze vorn, Start/Stop-Anlage, Staub- und Pollenfilter, Stoßfänger Wagenfarbe, Styling-Paket 1, Türgriffe außen Wagenfarbe, Verglasung getönt, Wärmeschutzverglasung, Keyless-Go.Der Ford Fiesta befindet sich Innen und Außen in einem Sehr guten und Gepflegten Zustand.Alle Angaben ohne Gewähr-Irrtümer Eingabefehler und Zwischenverkauf Vorbehalten.KleinwagenGebrauchtfahrzeugUnfallfreiHubraum: 998 cm³Anzahl der Türen: 2/3 TürenAnzahl Sitzplätze: 5Schadstoffklasse: Euro6Umweltplakette: 4 (Grün)Anzahl der Fahrzeughalter: 1HU: 05/20Farbe: Schwarz MetallicFarbe (Hersteller): Panther-Schwarz MetallicInnenausstattung: StoffFarbe der Innenausstattung: SchwarzAirbags: Front-AirbagsAnhängerkupplung: --AusstattungABS, Alarmanlage, Ambiente-Beleuchtung, Apple CarPlay, Armlehne, Beheizbare Frontscheibe, Berganfahrassistent, Bluetooth, Bordcomputer, CD-Spieler, ESP, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, Freisprecheinrichtung, Garantie, Gepäckraumabtrennung, Innenspiegel autom. abblendend, Isofix, Lederlenkrad, Leichtmetallfelgen, Lichtsensor, Multifunktionslenkrad, Nebelscheinwerfer, Notbremsassistent, Regensensor, Reifendruckkontrolle, Scheckheftgepflegt, Schlüssellose Zentralverriegelung, Servolenkung, Sitzheizung, Skisack, Sommerreifen, Soundsystem, Sportfahrwerk, Sportpaket, Sportsitze, Sprachsteuerung, Start/Stopp-Automatik, Traktionskontrolle, USB, Winterpaket, Zentralverriegelung",94104Bayern-Witzmannsberg
186,1171091958,Kleinwagen,300 €,196,2000,4(Grün),84082,                    Fahrzeug befindet sich in einem altersentsprechendem Zustand. Siehe BilderKann auch als Ersatzteile spendet verwendet werden. Bei Intresse bitte PN.,84082Bayern-Laberweinting
187,1170110601,Kleinwagen,12.00 €,36.4,2014,UnbeschädigtesFahrzeug,94551,"                    Der Fiesta ST ist sowohl technisch als auch optisch in einem sehr guten Zustand. Keine angekratzten Felgen, keine Steinschläge, keine Kratzer an der Ladekante.Ausstattung:6-Gang-Schaltgetriebe, Dachspoiler groß, Audiosystem SONY mit Ford Sync, EURO 5, Seitenscheiben getönt, beheizbare Frontscheibe, Reifendruckkontrollsystem, Ford Power Startfunktion, Rückfahrkamera, Performance-Paket I & II, Farbe Lava Rot, Keyfree Startfunktion, 8-Fach Bereift auf Alu (beide schwarz und ohne Kratzer)KleinwagenGebrauchtfahrzeugUnfallfreiHubraum: 1596 cm³Anzahl der Türen: 2/3 TürenAnzahl Sitzplätze: 5Schadstoffklasse: Euro5Umweltplakette: --Anzahl der Fahrzeughalter: --HU: 10/2019Farbe: RotFarbe (Hersteller): --Innenausstattung: TeillederFarbe der Innenausstattung: --Airbags: --Anhängerkupplung: --Radio: Tuner/RadioTagfahrlicht (Art): TagfahrlichtAusstattungABS, Bluetooth, Bordcomputer, CD-Spieler, ESP, Elektr. Fensterheber, Elektr. Wegfahrsperre, Freisprecheinrichtung, Isofix, Leichtmetallfelgen, MP3-Schnittstelle, Multifunktionslenkrad, Nebelscheinwerfer, Nichtraucher-Fahrzeug, Scheckheftgepflegt, Servolenkung, Sitzheizung, Sportfahrwerk, Sportpaket, Sportsitze, Tagfahrlicht, Traktionskontrolle, Tuner/Radio, ZentralverriegelungPrivatanbieterBenjamin Schober94551 HundingDeutschlandTel.: +49 0151 14974531Weitere Informationen bei",94551Bayern-Lalling
188,1169962915,Kleinwagen,,177.989,2001,Silber,94431,"                    Biete dieses bisher immer zuverlässige Auto an Selbstabholer an. Ein Satz Sommerreifen und ein Satz Winterreifen sind dabei. Das Auto hat eine Klimaanlage.Es hat durch das längere stehen ein paar Mängel, wie defekte Stoßdämpfer hinten und eine hakende Bremse hinten links.Auch die Batterie ist defekt. Die Einstiegsblenden sind neu müssen aber nachbearbeitet werden.Ein paar kleine Roststellen sind ebenfalls vorhanden.",94431Bayern-Pilsting
